Adhola,English
Wajulizi pa Jehova,Jehovah’s Witnesses
Ŋat’ondiko Baibul?,Who is the Author of the Bible?
Aŋo manyutho ni Baibul obedo kitawo ma n’iye adieri?,How can we be sure the Bible is true?
Baibul luwo kwoŋ aŋo?,What is the Bible about?
Inyalo nedi niaŋ gi Baibul?,How can you understand the Bible?
Kali itundi i gima n'iye,Skip to content
Kali itundi i gikipiny man'iye,Skip to table of contents
Imito kisoma gime i?,Would you like to read this article in?
Baibul n’iye wac maber ma waco ni ji jolabedo i piny ka cil gi cil,The good news that people will live forever on earth is written in the Bible
Baibul n’iye kitawin 66,The Bible is made up of 66 smaller books.
Were ooro ji 40 ndiko kitawin no,God used about 40 faithful men to write them
"Musa am’ondiko kitawin abic mar’apena, oro 3,500 m’okadho","The first five books were written by Moses about 3,500 years ago. "
"Jamoor Yohana am’ondiko kitawo macowe oro 1,900 m’okadho","The last book was written by the apostle John over 1,900 years ago. "
Joma jondiko Baibul jondiko paro pa ŋa? ,Whose ideas did Bible writers present? 
Were om’owaco ri jo gikipiny ma jondiko munyo oro cuny maleŋ,God communicated with the Bible writers by means of his holy spirit.
 (2 Samwiri 23:2) Wac ma jondiko obedo apa Were ma kiweno apa jo,"(2 Samuel 23:2) They wrote down the thoughts of God, not their own thoughts."
"Ri ameno, Baibul obedo wac pa Jehova", So Jehovah is the Author of the Bible.
Neni vidiyo Ŋat’ondiko Baibul?,Watch the video Who Is the Author of the Bible?
"Chwaki ri wan, media player okwero.","Sorry, the media player failed to load."
Baibul obedo wac pa Were rupiri kis gima Baibul waco tundo i kare.,We know that the Bible is from God because it accurately foretells the future in detail.
Ongoye dhano manyalo timo ameno. , No man can do that.
"(Yosuwa 23:14) Were Majameni Je kende, amanyalo ŋeyo gim’otimere i hongo mabino.​", (Joshua 23:14) Only Almighty God can accurately foresee mankind’s future
"Kitawo mawok bongi were ripo bedo ni opokere kwoŋ kitawin megi, aka iy’adieri Baibuli obedo kitawo m’opokere swa.","We would expect a book from God to be unique, and it is.  "
Otieki wodho Baibul mathoth swa i dhudhok makweth. ,Billions of copies of the Bible have been distributed in hundreds of languages.
"Kada nende Baibul obedo kitawo m’ondiki cango con, makere gi sayans.","Though ancient, the Bible is in harmony with proved science."
 Aka gikipiny ma ji 40 jondiko i Baibul makere pa gini dhano acel am’ondiko.,"Also, its 40 writers did not contradict one another."
"  Medo kwoŋ meno, Baibul konyo wan ŋeyo mar pa Were, aka Baibul nigi meni manyalo wiro kwo pa dhano tobedo maber. ","Furthermore, the Bible bears the unmistakable stamp of God’s love, and it still has the power to change people’s lives for the better. "
"Gikipinyi no je miyo ji ridho ni Baibul obedo Wac pa Were, soma 1 Jothesalonika 2:13.","These facts convince millions that the Bible is God’s Word, read 1 Thessalonians 2:13."
Neni vidiyo Aŋo Manyutho Ni Gima Nitie i Baibul Obedo Adieri?,Watch the video How Can We Be Sure the Bible Is True?
Megi kwoŋ gikipiny maber ma Baibul waco ri wan a gikipiny maber ma Were cegin timo ri ji.,The Bible centers on the good news that God has a loving purpose for mankind. 
" Baibuli waco ri wan paka cango ji jokeŋ silwany ma bedo i piny maŋon, aka odoko to waco ri wan nger ma Were bino loko piny me kabedo maŋon",The Scriptures explain how man’s privilege of living on a paradise earth was lost early in human history and how a paradise will finally be restored
"Kendo Wac pa Were n’iye cik, fonji, kodi rieko manyalo konyo wan. ","God’s Word also contains laws, principles, and advice."
Baibul waco ri wan paka cango Were otiyere gi ji. ,"In addition, the Bible records the history of God’s dealings with mankind​"
"Ri ameno, Baibul nyalo konyo wan ŋeyo kite pa Were maber.","Thus, the Bible can help you to know God. "
 Kendo Baibul nyutho wan paka wanyalo bedo merin pa Were.​,It explains how you can become his friend.
Kitawo me lakonyin Walaoro nger ma Yesu cango ooro munyo fonjo ji. ,This brochure will help you to understand the Bible by using the same method that Jesus used.
"Yesu osoma ri ji ndiiko maleŋ, to “tito ri jo” gima ndiiko no waco.", He referred to one Bible text after another and explained “the meaning of the Scriptures.”​
Ongoye gimaber loyo wac maber mawok bongi Were.,Few things are as fascinating as the good news from God.
"Kada ameno, nitie joma jokimiti kada winjo wac no, aka joman wac no miyo jo nge. ","Yet, some people are indifferent to it, and others are even annoyed by it."
To in medere fonjirok wac maber.,"Nevertheless, continue learning the good news"
"  K’imito limo kwo makirum, iripo ŋeyo Were.​", Your hope of enjoying everlasting life depends on your getting to know God.​
1. Kwo pa Yesu ocako nedi?,1. How did Jesus’ life begin?
2. Raŋo Yesu obino i piny?,2. Why did Jesus come to the earth?
3. Raŋo cul oyido mitere?,3. Why do we need a ransom?
4. Raŋo Yesu otho?,4. Why did Jesus die?
5. Yesu timo aŋo pama?,5. What is Jesus doing now?
Aŋo m’omiyo Yesu obedo dhano mayot tiyirok gine?,What qualities made Jesus approachable?​
 Yesu kutho obedo i polo paka malaika munyo fodi k’onywol go i piny ka.,Jesus lived in heaven as a spirit person before he was born on earth.
"Go am’obedo cwec pa Were m’otelo, aka okonyo Were gi cweyo gikipiny megi je. ","He was God’s first creation, and he helped in the creation of all other things."
Go kende ama Jehova won ocweyo am’omiyo ilwoŋo go ni “Wod Were acel kende.” , He is the only one created directly by Jehovah and is therefore appropriately called God’s “only-begotten” Son.
 Kendo Yesu obedo jaluwo pa Were am’omiyo ilwoŋo go ni “Wac.”​,"Jesus served as God’s Spokesman, so he is also called “the Word.”​"
Were odhiro Wode i piny ka munyo ketho kwo pere i iyi nyako m’ilwoŋo ni Maria m’oyido fodi k’obedoye gi jacwo. ,God sent his Son to earth by transferring his life from heaven to the womb of a virgin Jewess named Mary. 
Am’omiyo Yesu k’odedo gi bamere i piny ka. ,So Jesus did not have a human father. 
" Yesu obino i piny (1) fonjo wan adieri ma mako kwoŋ Were, (2) nyutho wan ranena i nger ma timo gima Were mito kada ka wan’iteko, kodi (3) miyo kwo pere paka “cul.”​","Jesus came to the earth (1) to teach the truth about God, (2) to set us an example in how to do God’s will even when we are in difficulties, and (3) to give his perfect life as “a ransom.”"
Cul obedo welo m’iculo botho dhano tho. ,A ransom is the price paid to release a person from the threat of death.
"(Wok 21:29, 30) K’obedo atoŋa pa Were ji ti kosa tho. "," (Exodus 21:29, 30) Death and old age were not part of God’s original purpose for mankind. "
Raŋo wawaco ameno?,How do we know that?
"Were cango owaco ri dhano m’otelo, Adam, ni k’otimo gimarac, go d’otho.","God told the first man, Adam, that if he committed what the Bible calls “sin,” he would die. "
  Meno nyutho ni bedi Adam k’otimo gimarac dinyo go fodi kwo kir konon.,"So if Adam had not sinned, he would never have died."
