Adhola,English,Swahili
Mac,Fire,Moto
A nen mac!,"Look, fire!","Angalia, moto!"
Mac waŋo gi kipiny.,Fire burns.,Moto unachoma.
Watedo gi mac.,Fire cooks.,Moto unatumika kupika.
Mac kelo ri wan lyetho.,Fire gives warmth.,Moto unaleta joto.
Mac miyo wan lero.,Fire gives light.,Moto unaleta mwanga.
A nen mac!,"Look, fire!","Angalia, moto!"
Mac obedo gi maber.,Fire is wonderful.,Moto ni wa ajabu.
Aka ni gi men.,And it is powerful.,Na una nguvu sana.
Tedo,Cooking,Kupika
Agowo rabwo.,I peel the potatoes.,Ninamenya viazi.
Anyaro kabico.,I chop a cabbage.,Ninakatakata kabichi.
Agweno karoti.,I grate the carrots.,Ninasaga karoti.
Alwoko bijanjali.,I wash the beans.,Ninaosha maharagwe.
Aŋado nyaryeŋa.,I cut the butternut.,Ninakata maboga.
Anyaro siku mawiki.,I chop the spinach.,Ninakatakata sukuma-wiki.
Mama ŋado katungulu.,"My mom chops the
onions.",Mama yangu anakatakata vitunguu.
Katungulu m’oŋadi lunga i waŋan.,"Onions make me cry
when they are chopped.",Vitunguu hunifanya nilie vikiwa vinakatwakatwa.
Jali Ma Bori Tektek Swa,A very tall man,Mwanamume mrefu
kweri pere oyido chieki swa.,His hoe was too short.,Jembe lake lilikuwa fupi mno.
Dhioti pere oyido ni pinyi swa.,His doorway was too low.,Mlango wake ulikuwa chini mno.
Kitanda pere oyido cheiki swa.,His bed was too short.,Kitanda chake kilikuwa kifupi mno.
Gali pere oyido chieki swa.,His bicycle was too short.,Baisikeli yake ilikuwa fupi sana.
Jaali me oyido bori swa!,This man was too tall!,Mtu huyu alikuwa mrefu zaidi!
Go oyiko furi kweri mabori swa.,He made a very long hoe handle.,Alitengeneza mpini wa jembe mrefu sana.
Go oyiko gute thigo pere mabori swa.,He made very high door frames.,Alitengeneza fremu ndefu za milango.
Go oyiko kitanda mabori swa.,He made a very long bed.,Alitengeneza kitanda kirefu sana.
