Adhola,English
Imito kisoma gime i ?,Would you like to read this article in ?
Ongoye gima loyo bedo mere pa Were.,Becoming God's friend is the best thing that could ever happen to you.
Were bino fuonjin nger ma limo kisangala kodi syem.,God will teach you how to be happy and secure.
Go lebothin fuonji matwodo kanyachiel kodi kula marecho,He will free you from many wrong beliefs and harmful practices.
Were bino winjo kwayo perin.,God will listen to your prayers.
Kendo wokonyin limo syem,He will help you to enjoy inner peace and confidence.
Were bino konyin i teko.,God will support you during times of trouble.
Were bino miyin mich ma kwo makirum,And God offers you his gift of everlasting life.
"Ka ichore chiegin gi Were, ilebedo mere pa joma jomaro go","As you draw close to God, you will draw close to friends of God"
Jobende jobino bedo merin perin,They will become your friends too
" Adyeri, jobino bedo wutimerin gi nyimerin"," In fact, they will be like brothers and sisters to you"
Jobino winjo maber konyin fuonjirok gima mako kwoŋ Were aka jobino medin men,They will be happy to teach you about God and will help you and encourage you
Wakirom gi Were,We are not equal to God
" Paka imito bedo mere pa Were, nitye gima dwoŋ swa m’iripo ŋeyo"," As you seek God's friendship, you must understand an important fact"
Bedo mere pa Were ki chale kodi bedo mere gi muworo perin,Friendship with God is not a friendship between equals
" Were dwoŋ swa loyo wan, ryek, aka ni gi men moasere",He is far older and wiser and is more powerful than we are
Go amaripo dhumo wan,He is our rightful Ruler
" Ri ameno ka wamito bedo mere pere, waripo winjo go kendo to watimo gima go yenyo"," So if we want to be his friend, we must listen to him and do what he tells us to do"
Timo ameno konyo wan,This will always work for our good
MERE PA WERE,GOD'S FRIEND
Ka imito bedo mere pa Were iripo fuonjere gima mako kwoŋ go.,"To be God’s friend, you need to learn about him."
Merin perin joŋeyo nyingin kendo jooro?,Do your friends know your name and use it?
Were mito ni iŋeyi nyinge kendo ior.,God wants you to know and use his name too.
Nyingi Were a Jehova.,God’s name is Jehovah.
Iripo fuonjere gima go mito kodi gima go kimiti.,You must also learn what he likes and dislikes.
Ber iŋeyi merin pere kodi jokwor pere.,You need to know who his friends are and who his enemies are.
Ŋeyo dhano tero hongo ma romo.,It takes time to get to know someone.
Baibul wacho ni ber walimi hongo ma fuonjirok gima mako kwoŋ Jehova.,The Bible says that it is wise to set aside time to learn about Jehovah.
Merin pa Were jotimo gima sangala go,God’s friends do what is pleasing to him
Par kwoŋ merin perin,Think about your friends
"Ka itimo ri jo gimarach, iparo ni jomedere bedo merin perin?","If you treat them badly and do the things that they hate, will they continue to be your friends?"
"  Be! I royo achiel, ka imito bedo mere pa Were, iripo timo gima sangala go","  Of course not! In the same way, if you want to be God’s friend, you need to do what is pleasing to him"
Nitye din achiel kende ma nyalo lokin mere pa Were,Not all religions lead to friendship with God
" Yesu, mobedo mere pa Were ma loyo, oluwo kwoŋ royo aryo"," Jesus, who is God’s closest friend, spoke of two roads"
Royo achiel lach aka opoŋ’iye ji,One road is wide and is filled with people
Royo no tero jo i reyirok,That road leads to destruction
Royo man diny aka n’iye ji manok,The other road is narrow and has few people traveling on it
Royo no tero jo i kwo makirum,That road leads to everlasting life
" Meno nyutho ni ka imito bedo mere pa Were, iripo fuonjere nger motire ma lamo go"," This means that if you want to have God’s friendship, you must learn the correct way to worship him"
Nitie din acel kende mar’adieri?,Is there only one true religion?
Neni gikipiny abic manyutho din mar’adieri.,Consider five identifying marks of true worship
Inyalo fuonjere gima mako kwoŋ Jehova ka isoma Baibul.,You can learn about Jehovah by reading the Bible.
"Chango chon, Jehova oyero ji ndiko wach pere.",Long ago God picked certain humans to write down his thoughts.
Wach ma jondiko ilwoŋo ni Baibul.,Those writings are called the Bible.
Konon wafuonjere gima mako kwoŋ Were ka wasoma Baibul.,Today we learn about God by reading the Bible.
"Baibul n’iye wach pa Jehova, amomiyo ilwoŋo ni Wach pa Were.","Because the Bible contains Jehovah’s word, or message, it is also called God’s Word. "
Wanyalo geno gima Baibul wacho rupiri Jehova “kinyal twodo,We can believe what the Bible says because Jehovah never lies.
Wach pa Were n’iye adyeri.,It is impossible for God to lie.” (Hebrews 6:18) God’s Word contains the truth.
Baibul obedo mich maber mowok bongi Were,The Bible is one of God’s most precious gifts to us
Chale gi balwa ma janywol ma maro nyithindho pere ondiko ri jo,It is like a letter from a loving father to his children
" Wacho ri wan kwoŋ chikirok pa Were, nike go kidho loko piny me kabedo maber swa",It tells us about God’s promise to change the earth into a wonderful place to live​—a paradise
" Wacho ri wan gima Were otimo chango chon, gima go timo pama, kodi gima go letimo i hongo ma bino ri joma geno go"," It tells us what he has done in the past, what he is doing now, and what he will do in the future for his faithful children"
" Aka konyo wan i teko mawan, kendo konyo wan limo kisangala",It also helps us to solve our problems and to find happiness
 Wajulizi pa Jehova jobedo merin pa Were, Jehovah’s Witnesses are friends of God
