Adhola,English,,,,,,
GIMA BAIBUL WACHO,WHAT THE BIBLE SAYS,,,,,,
 bino yweyo pigi waŋ jo,"will wipe out every tear from their eyes,",,,,,,
"Tho odoko k’obedi, kosa rembo, kosa ywak kosa litho,"," and death will be no more, neither will mourning nor outcry nor pain be anymore",,,,,,
 rupiri gikipiny macon jotieko leny woko,The former things have passed away,,,,,,
KWO OCHALE NEDI I HONGO MABINO?,WHAT THAT CAN MEAN FOR YOU,,,,,,
Waletimo tich maber ma miyo wan kisangala,Meaningful and satisfying work,,,,,,
Two kodi chandirok kobedi,No more sickness or suffering of any kind,,,,,,
"Walebedo kodi jopechin mawan gi merin mawan, i syem chil gi chil","A happy, unending life with family and friends",,,,,,
 IRAŊO WANYALO GENO GIMA BAIBUL WACHO?, CAN WE REALLY BELIEVE WHAT THE BIBLE SAYS?,,,,,,
"Wani g’atoŋa aryo: Were nyalo timo gima go ochiko,","Yes, for at least two reasons: God has the ability to fulfill the promise""",,,,,,
"I Baibul, Jehova kende am’ilwoŋo ni Were “Majameni jye,” rupiri ongoye gima nyalo dhyero go timo""","In the Bible, Jehovah God alone is called “the Almighty,” for he has unlimited power""",,,,,,
" Ri ameno, go nyalo loko piny me kabedo maber swa"" ",So he is fully able to keep his promise to change our world for the better,,,,,,
"Baibul wacho ni: “Ri Were gimoro jye nyalere,"" ","As the Bible says, “with God all things are possible""",,,,,,
Were mito swa timo gima go ochiko,God has the desire to fulfill the promise,,,,,,
"Giranena, Baibul wacho ni Jehova ‘mito swa’ chierino jomotho","For example, Jehovah has a longing to restore life to people who have died""",,,,,,
"Kendo Baibul nyutho ni Nyathi pa Were, Yesu, obotho jotwo","The Bible also shows that God’s Son, Jesus, healed the sick",,,,,,
Iraŋo Yesu otimo ameno? Rupiri omito,Why did he do so? Because he wanted to,,,,,,
"Yesu onyutho kite pa Bamere munyo konyo ji moido jochandere"","," Jesus perfectly reflected his Father’s personality by his desire to help those in need""",,,,,,
"Ri ameno, wanyalo ridho ni Jehova kodi Yesu jomito ni wabedi i kwo maber i hongo mabino",So we can be sure that both Jehovah and Jesus want to help us to enjoy a happy future!,,,,,,
PAR KWOŊ PENJI ME,TO THINK ABOUT,,,,,,
Were oloki nedi piny me kabedo maber?,How will God change our world for the better?,,,,,,
"Baibul dwoko penji no i MATAYO 6:9, 10 kodi DANIEL 2:44","The Bible answers that question at MATTHEW 6:9, 10 and DANIEL 2:44",,,,,,
Ndiko je Were am’omiyo meni.,All Scripture is inspired of God.,,,,,,
ŊEYO ADYERI NO NYALO KONYO WAN NEDI?,WHAT THAT CAN MEAN FOR YOU,,,,,,
Wanyalo limo radwok ma penji ma wamaro penjere.​,Satisfying answers to life’s big questions,,,,,,
Wanyalo limo ryeko ma nyalo konyo wan i kwo.​,Reliable guidance for day-to-day living.,,,,,,
Walimo geno.​,Real hope for the future.,,,,,,
IRAŊO WANYALO GENO GIMA BAIBUL WACHO?,CAN WE REALLY BELIEVE WHAT THE BIBLE SAYS?,,,,,,
Wani g’atoŋa adek: ,"Yes, for at least three reasons:",,,,,,
Makere.,Amazing harmony.,,,,,,
"Ji 40 ama jondiko Baibuli i hongo ma romo oro 1,600.","The Bible was written over a period of 1,600 years by some 40 different people. ",,,,,,
Joma thoth kwoŋ jo jokonenere kir.,Most of them never met one another.,,,,,,
"Kada ameno, Baibuli jye makere wok i chakirok tundo i gike aka luwo kwoŋ gimoro achiel.","Yet, the entire book is harmonious, with one central theme!",,,,,,
Joma jondiko Baibul jobedo joma mwol., Honest history.,,,,,,
Joma ndiko kwoŋ gikipiny motimere chon jokimar tucho recho pajo. ,Secular historians seem quick to cover over the defeats of their people.,,,,,,
"Kuchiel, joma jondiko Baibul jondiko kir kwoŋ recho pajo won.","In contrast, Bible writers candidly recorded both their personal failings and those of their nation.",,,,,,
Wach m’otundo i kare.,Reliable prophecy.,,,,,,
"Munyo fuodi odoŋ oro 700 gipi, Baibuli owacho ni d’onywol Yesu i tindi ma Yuda milwoŋo ni Bethlehem.","Some 700 years in advance, the Bible foretold the birth of Jesus in a city of Judah called Bethlehem
",,,,,,
Onwyol Yesu kune? ,Where was Jesus born?,,,,,,
Onyowol go i tindi no won!​,He was born in the exact city!,,,,,,
Nitye wach megi mathoth m’otundo i kare paka Baibuli owacho won.,Numerous other Bible prophecies were also fulfilled down to the smallest detail,,,,,,
" Obedo ameno, rupiri Baibuli Wach pa Were",But is that not what we would expect of the Word of God?,,,,,, 
Wach pa Were nyalo konyin nedi?,How can God’s Word improve your life?,,,,,,
